#timestamp x y z qx qy qz qw
1730833244.156331 -1.610227 0.162660 0.427456 0.727061 -0.621025 -0.239858 -0.167865
1730833245.189347 -2.285061 -0.301714 0.378848 0.773381 -0.624861 -0.056180 -0.090962
1730833246.305671 -3.098705 -0.460224 0.492319 0.772224 -0.624175 -0.042868 -0.110629
1730833247.322025 -4.042408 -0.894222 0.467040 0.739114 -0.673198 0.018536 -0.013066
1730833248.554980 -2.509806 1.117373 1.129160 0.735094 -0.669907 -0.018859 0.102499
1730833249.571333 -2.422395 1.366725 1.230145 0.737283 -0.673351 -0.048444 0.025788
1730833250.654334 -1.338222 1.089481 0.779946 0.725884 -0.684633 -0.065051 -0.011826
1730833251.687349 -1.361153 1.137410 0.751499 0.724811 -0.679740 -0.108443 -0.029032
1730833252.703704 -1.321224 1.077639 0.663559 0.737772 -0.669776 -0.082069 0.018882
1730833253.820027 -1.314951 1.079822 0.596056 0.742023 -0.658946 -0.122435 0.014221
1730833254.836380 -1.307101 1.083814 0.526672 0.754830 -0.646074 -0.113108 0.005190
1730833255.852734 -1.315783 1.170853 0.468946 0.739825 -0.666376 -0.082514 -0.042358
1730833256.885749 -1.316593 1.283237 0.376711 -0.666711 0.744263 -0.014909 -0.036685
1730833257.902102 -1.276175 1.350372 0.356352 -0.581568 0.811299 0.047461 -0.036330
1730833259.018425 -1.297274 1.409618 0.339184 -0.470203 0.872955 -0.122046 0.044311
1730833261.051131 -1.312121 1.403402 0.387241 -0.525699 0.841489 -0.123487 -0.016987
1730833262.084146 -1.322839 1.446507 0.380577 -0.471407 0.879977 -0.007651 -0.057937
1730833263.100500 -1.263632 1.467603 0.340528 -0.431407 0.881483 -0.012439 -0.191630
1730833264.116853 -1.213263 1.484786 0.316881 -0.389121 0.905703 -0.048771 -0.160964
1730833265.149867 -1.201619 1.483668 0.288280 -0.358262 0.898207 -0.207712 -0.147405
1730833266.182882 -1.181008 1.513153 0.261597 -0.375401 0.863456 -0.258463 -0.216136
1730833267.199234 -1.174177 1.515810 0.262002 -0.415834 0.830367 -0.249464 -0.274481
1730833268.215587 -1.160208 1.496080 0.296336 -0.403501 0.862295 -0.229601 -0.202282
1730833270.248294 -1.201701 1.406653 0.426733 -0.691130 0.705857 -0.027468 -0.152810
1730833271.264647 -1.104873 1.444662 0.529988 0.722813 -0.667295 0.103002 0.147137
1730833272.281000 -0.951671 1.313330 0.702387 0.949365 -0.302516 -0.083951 0.011960
1730833273.314014 -0.985186 1.371395 0.738396 0.958387 -0.250996 -0.135967 0.002930
1730833274.347028 -0.979755 1.361209 0.854384 0.980726 -0.146607 -0.083111 0.098868
1730833275.463350 -0.976504 1.353052 0.876382 0.985512 -0.082253 -0.148139 0.007431
1730833276.479702 -0.980291 1.396623 0.940518 0.961555 -0.062415 -0.267425 0.000568
1730833277.562701 -1.101422 1.395432 0.922671 0.991034 -0.005342 -0.053718 -0.122215
1730833278.629038 -1.138549 1.519006 0.901191 0.999381 0.018659 0.012354 -0.027152
1730833279.662052 -1.081417 1.602610 0.892909 0.997525 0.058262 -0.039016 0.005210
1730833280.678405 -1.081537 1.643700 0.910424 0.989598 0.134094 -0.037388 0.036295
1730833281.794725 -1.233920 1.540755 1.058526 0.903662 0.426234 -0.026676 0.031752
1730833282.811078 -1.324162 1.472750 1.104770 0.885117 0.460839 -0.055253 0.033791
1730833283.827430 -1.342381 1.690470 1.116874 0.882568 0.469385 -0.027279 0.002785
1730833284.860443 -1.196288 1.846888 1.123389 0.835154 0.549155 -0.016720 0.025838
1730833285.876795 -1.272864 2.140058 1.119609 0.849843 0.523214 -0.063124 0.005425
1730833286.893147 -1.127429 2.354883 1.128035 0.804619 0.592612 -0.026268 0.026640
1730833287.909498 -1.084533 2.678614 1.128920 0.747714 0.662444 -0.040440 0.021369
1730833288.942512 -1.218510 2.945032 1.121384 0.789219 0.609771 -0.071386 -0.014701
1730833289.958863 -1.272515 3.276915 1.128040 0.781474 0.622129 -0.045465 0.013686
1730833290.975215 -1.429789 3.665681 1.137896 0.841838 0.531259 -0.083771 0.045329
1730833291.991567 -1.169668 3.946270 1.127173 0.847447 0.521672 -0.098453 -0.000104
1730833293.007919 -1.159814 4.335400 1.137705 0.907813 0.416739 -0.025317 -0.039531
1730833294.040932 -0.809303 4.597923 1.133440 0.952684 0.298153 -0.047085 -0.035780
1730833295.057283 -0.457039 4.820068 1.120638 0.997128 0.043778 -0.037145 -0.049388
1730833296.156943 0.168461 4.908900 1.138995 0.997942 -0.039401 -0.037079 -0.034416
1730833297.189956 0.845740 4.796083 1.109667 0.997068 -0.053909 -0.051950 -0.015841
1730833298.222969 1.470680 4.673610 1.114453 0.997330 -0.006786 -0.069139 -0.022485
1730833299.239321 2.030375 4.724357 1.111926 0.996594 -0.031787 -0.073242 -0.020648
1730833300.338980 2.597169 4.706022 1.112875 0.997947 -0.018393 -0.061264 0.003254
1730833301.371994 3.034248 4.582565 1.117584 0.996939 -0.038556 -0.067082 -0.011253
1730833302.388345 3.532614 4.571195 1.121501 0.996515 -0.039402 -0.071062 -0.018863
1730833303.421358 4.046020 4.440943 1.122750 0.995799 0.041391 -0.081344 -0.007321
1730833304.537678 4.642163 4.416719 1.118405 0.997671 0.006775 -0.064755 -0.020334
1730833305.653999 5.209316 4.381453 1.135816 0.996782 -0.043616 -0.067111 -0.004522
1730833306.670351 5.673299 4.168071 1.130095 0.997102 -0.022771 -0.072446 -0.004496
1730833307.686702 6.123755 4.090132 1.122692 0.992818 -0.100102 -0.065296 0.005266
1730833308.703053 6.476111 3.903972 1.127738 0.992861 -0.097732 -0.061729 0.029414
1730833309.736066 6.876991 3.774310 1.126315 0.995489 -0.083573 -0.041090 -0.018137
1730833310.752417 7.400657 3.636628 1.143786 0.994391 -0.088720 -0.057570 -0.000210
1730833311.768769 7.895094 3.397176 1.149550 0.997888 -0.049302 -0.040675 -0.011593
1730833312.801782 8.349470 3.422978 1.153981 0.996866 -0.049268 -0.061089 -0.009941
1730833313.818133 8.746792 3.227170 1.152202 0.997012 -0.014601 -0.074279 -0.015388
1730833314.934453 9.287615 3.196257 1.142010 0.995894 -0.000401 -0.079152 -0.043943
1730833315.950805 9.723532 3.213308 1.160993 0.998221 0.026273 -0.053016 -0.007356
1730833316.967156 10.180524 3.256151 1.161481 0.998436 0.024620 -0.050194 -0.000495
1730833317.983507 10.594327 3.436648 1.174193 0.995173 -0.077061 -0.060650 0.003793
1730833319.016520 10.850610 3.352935 1.168119 0.991987 -0.106952 -0.067240 -0.001177
1730833320.032871 11.001276 3.415982 1.173965 0.986787 -0.137009 -0.080331 0.032043
1730833322.082235 11.046900 3.475760 1.178279 0.980140 -0.177379 -0.082126 0.033431
1730833324.214906 11.175405 3.324564 1.172256 0.985062 -0.151409 -0.080487 0.015806
1730833325.247918 11.384373 3.283070 1.168375 0.979588 -0.187760 -0.071395 -0.007470
1730833326.264269 11.656639 3.138449 1.163184 0.969365 -0.234774 -0.067301 -0.026136
1730833327.280621 11.977408 2.952253 1.170593 0.937422 -0.341220 -0.058843 -0.036683
1730833328.313632 12.252615 2.766409 1.168055 0.949503 -0.304966 -0.067962 -0.028664
1730833329.329984 12.591913 2.656008 1.185112 0.951356 -0.301733 -0.061159 0.011814
1730833330.362996 12.849917 2.460297 1.178329 0.944930 -0.320549 -0.065773 0.005470
1730833331.379347 13.211877 2.334786 1.183568 0.913579 -0.400630 -0.066320 -0.021695
1730833332.395699 13.386090 2.085147 1.182959 0.910910 -0.405779 -0.074730 -0.001004
1730833333.428711 13.700352 1.904591 1.187826 0.854941 -0.513054 -0.065256 -0.039918
1730833334.528369 13.812509 1.630942 1.185477 0.870945 -0.486860 -0.061615 -0.025017
1730833335.561381 13.943870 1.614567 1.187214 0.843161 -0.533369 -0.067711 -0.003436
1730833336.577732 13.944584 1.626325 1.189194 0.832258 -0.546391 -0.091780 -0.019499
1730833339.660107 13.917558 1.615515 1.178541 0.799495 -0.593219 -0.092089 -0.020433
1730833340.676458 13.909130 1.607241 1.178222 0.819898 -0.561290 -0.110687 -0.021680
1730833345.758211 13.952995 1.664273 1.168964 0.813612 -0.574476 -0.083931 -0.031137
1730833347.790913 13.944237 1.645791 1.170542 0.833071 -0.549069 -0.066624 -0.008745
1730833348.807263 13.950198 1.633722 1.165969 0.850594 -0.518530 -0.084081 -0.023403
1730833350.839964 13.921776 1.646657 1.172146 0.836343 -0.542260 -0.067632 -0.043703
1730833355.038658 13.943094 1.649783 1.180353 0.845209 -0.528428 -0.079684 -0.005992
1730833364.202472 13.932348 1.679739 1.170942 0.826264 -0.559910 -0.059621 -0.015313
1730833367.351492 13.924725 1.662502 1.175243 0.861197 -0.500603 -0.087662 -0.007223
1730833369.400851 13.950962 1.686251 1.177885 0.909227 -0.409734 -0.073128 -0.008731
1730833370.433865 13.786892 1.599151 1.165855 0.995638 -0.091682 -0.015326 0.008014
1730833371.466877 13.770058 1.560176 1.158179 0.997784 -0.049731 -0.026592 -0.035309
1730833372.483227 13.901551 1.754828 1.178432 0.838486 -0.543399 0.024087 -0.032841
1730833373.499577 13.857657 1.915918 1.169967 0.847229 -0.531014 0.006948 -0.013386
1730833374.515927 13.860388 1.923935 1.169885 0.846636 -0.531185 -0.025236 -0.020326
1730833375.532277 13.908480 1.864758 1.171475 0.845169 -0.532335 -0.046226 -0.013143
1730833377.581639 13.895302 1.895587 1.172522 0.820587 -0.570724 -0.029363 -0.006949
1730833380.647349 13.861277 1.860337 1.175104 0.791138 -0.610505 -0.008406 0.036256
1730833381.680359 13.831354 1.643548 1.167437 0.794276 -0.606918 0.001335 0.027819
1730833382.696710 13.632207 1.517657 1.158356 0.842303 -0.537235 0.023176 0.036978
1730833383.729722 13.717994 1.506567 1.165602 0.822429 -0.567846 -0.031250 0.013579
1730833384.829379 13.756175 1.595672 1.171566 -0.546714 0.835898 -0.048738 0.001748
1730833385.862391 13.716886 1.524255 1.164582 0.784146 -0.620242 -0.006409 -0.019329
1730833387.911752 13.701233 1.513485 1.167022 0.800883 -0.598764 -0.004469 -0.006970
1730833388.928101 13.698355 1.481927 1.156888 0.817039 -0.576480 -0.006012 -0.009054
1730833394.126480 13.699022 1.501940 1.157645 0.799262 -0.600457 -0.025126 -0.000125
1730833400.441176 13.705609 1.510737 1.161653 0.784167 -0.620287 -0.017261 0.005248
1730833410.854592 13.700765 1.550800 1.163021 -0.475024 0.879636 -0.011927 0.021242
1730833411.870941 13.725142 1.504853 1.157976 0.770732 -0.629066 -0.097839 0.026006
1730833412.903952 13.691961 1.537457 1.153955 0.770133 -0.635402 -0.053591 0.016943
1730833415.036619 13.696958 1.484809 1.160767 0.769228 -0.636469 -0.056505 0.001781
1730833416.052968 13.673886 1.528695 1.159752 0.760952 -0.648510 -0.010065 0.016889
1730833418.085667 13.699422 1.522803 1.155542 0.819457 -0.571142 -0.047157 0.007929
1730833419.118677 13.665633 1.504337 1.151199 0.818282 -0.574769 -0.007380 -0.000805
1730833420.234995 13.659010 1.510966 1.154979 0.803300 -0.595194 -0.019663 -0.008130
1730833421.251344 13.676470 1.509588 1.158168 0.824145 -0.563257 -0.055372 -0.021451
1730833423.284042 13.680425 1.551808 1.151246 0.795378 -0.606020 -0.010539 0.001159
1730833426.449720 13.677560 1.538743 1.156325 0.810306 -0.585607 -0.021642 0.000830
1730833427.549376 13.679773 1.518856 1.161027 0.835647 -0.547388 -0.044004 0.011190
1730833429.615396 13.682665 1.552319 1.167362 0.851419 -0.524228 -0.002155 0.016316
1730833431.748063 13.713368 1.502434 1.156667 0.862923 -0.504050 -0.035184 0.007722
1730833432.764412 13.725615 1.516294 1.155519 0.841033 -0.539768 -0.033356 0.014157
1730833433.780760 13.722642 1.547903 1.153912 0.842045 -0.538745 -0.008268 0.025404
1730833436.946438 13.714537 1.537092 1.162270 0.825865 -0.563305 -0.013134 0.021485
1730833450.442215 13.695815 1.502851 1.166225 0.828103 -0.559287 -0.037992 -0.000227
1730833463.021611 13.708559 1.511166 1.165167 0.862927 -0.500912 -0.057466 0.033789
1730833464.037959 13.697771 1.503234 1.160818 0.871183 -0.489212 -0.040960 0.005914
1730833466.070655 13.710599 1.523075 1.160320 0.844032 -0.534375 -0.045308 0.000823
1730833474.318071 13.707405 1.455885 1.165656 0.827469 -0.560151 -0.038853 -0.004049
1730833478.566740 13.718009 1.522360 1.169909 0.814882 -0.578132 -0.039754 0.012291
1730833480.782712 13.698770 1.582132 1.160060 -0.481635 0.874570 -0.050672 0.024236
1730833481.799060 13.723216 1.592561 1.167242 -0.480507 0.876572 0.006671 -0.026278
1730833482.832070 13.703824 1.516437 1.166383 -0.671564 0.739708 0.037031 -0.021512
1730833484.864766 13.706358 1.537157 1.173616 -0.691574 0.719591 0.059448 -0.019497
1730833485.881114 13.742712 1.565684 1.172768 0.798969 -0.592318 -0.092344 0.047755
1730833489.963167 13.742967 1.572371 1.158219 0.801156 -0.593987 -0.057143 0.045422
1730833490.979516 13.752044 1.570071 1.157766 0.773330 -0.630640 -0.024165 0.060583
1730833492.012525 13.766214 1.555253 1.148400 -0.688799 0.724739 -0.005051 -0.016849
